dir_id|director_name|director_gender
281|Stephen Sommers|2
282|Pal Sletaune|0
283|Oliver Hirschbiegel|2
284|Sam Peckinpah|0
285|Jeannot Szwarc|2
286|Joseph Sargent|2
287|Kevin Costner|2
288|Florian Henckel von Donnersmarck|2
289|Terry Jones|2
290|Pete Docter|2
291|Christophe Gans|2
292|Andrei Tarkovsky|2
293|Robert Mulligan|2
294|John Ford|0
295|Fernando Meirelles|2
296|Lilly Wachowski|1
297|Barry Sonnenfeld|0
298|Edward Zwick|2
299|John McNaughton|2
300|D.W. Griffith|2
301|Mick Jackson|2
302|Ivan Reitman|2
303|Randal Kleiser|2
304|Charles Crichton|2
305|Dennis Hopper|2
306|Roland Joffe|0
307|Neil Jordan|0
308|Bryan Singer|2
309|Victor Fleming|0
310|F.W. Murnau|2
311|Sharon Maguire|1
312|Alan Parker|2
313|Roberto Benigni|2
314|George Roy Hill|2
315|Sergei M. Eisenstein|2
316|Terence Young|2
317|Tetsuya Nomura|0
318|Jean Cocteau|2
319|Robert Altman|2
320|Volker Schlondorff|2
321|Chris Marker|0
322|Jan de Bont|2
323|William Wyler|2
324|Walter Salles|2
325|Lewis Gilbert|2
326|Peter R. Hunt|0
327|Robert J. Flaherty|0
328|Park Chan-wook|2
329|Chris Columbus|2
330|Alfonso Cuaron|2
331|Mike Newell|2
332|David Yates|2
333|Leni Riefenstahl|1
334|Jacques Tourneur|0
335|Tim Robbins|2
336|Theo Angelopoulos|2
337|Robert Bresson|2
338|John Waters|2
339|Jay Roach|2
340|John Glen|2
341|John G. Blystone|2
342|Richard Lester|0
343|Joseph L. Mankiewicz|2
344|Martin Campbell|2
345|Jane Campion|1
346|Roger Spottiswoode|2
347|Lukas Moodysson|2
348|Peter Lichtefeld|2
349|M. Night Shyamalan|2
350|Bernardo Bertolucci|2
351|Edgar Wright|2
352|George Pollock|2
353|James McTeigue|2
354|John Cassavetes|2
355|John Woo|2
356|Samuel Armstrong|2
357|Gerard Oury|2
358|Claude Zidi|2
359|Albert Hughes|2
360|Jonathan Dayton|2
361|Georges Melies|0
362|Jean Renoir|2
363|Carl Th. Dreyer|2
364|Andrew Niccol|2
365|Richard Attenborough|2
366|Jan Sverak|0
367|Slatan Dudow|2
368|Cameron Crowe|2
369|Doug Liman|2
370|Jiri Menzel|2
371|John Carpenter|2
372|Rupert Wainwright|2
373|Brad Silberling|0
374|Roger Kumble|2
375|Thomas Engel|0
376|Alain Resnais|2
377|John Moore|2
378|Chris Miller|2
379|Douglas Trumbull|2
380|Ron Clements|2
381|Jim Abrahams|2
382|John Stephenson|0
383|Stanley Kramer|2
384|Satyajit Ray|2
385|Hiroyuki Okiura|0
386|Willard Carroll|2
387|David Lean|2
388|Fred M. Wilcox|2
389|Joseph M. Newman|2
390|Vittorio De Sica|2
391|Karl Hartl|0
392|Nelson Pereira dos Santos|0
393|Niels Mueller|0
394|Wong Kar-wai|2
395|Rob Bowman|2
396|Matthew Robbins|2
397|Peter Yates|2
398|Bob Clark|2
399|Ladislao Vajda|2
400|Chuck Russell|2
401|Nora Ephron|0
402|John Badham|2
403|John Lasseter|2
404|Jon Turteltaub|2
405|Paul Michael Glaser|2
406|Marc Forster|2
407|Phillip Noyce|2
408|Gavin Hood|2
409|Franklin J. Schaffner|2
410|Stanley Donen|2
411|John Harrison|2
412|Helmut Weiss|0
413|Marleen Gorris|0
414|Arend Agthe|0
415|Norman Jewison|2
416|Brian Levant|2
417|Joseph Vilsmaier|2
418|John Frankenheimer|2
419|Charlie Chaplin|2
420|Stuart Rosenberg|2
421|Carl Wilhelm|0
422|G.W. Pabst|2
423|Wilhelm Thiele|0
424|Martin Koolhoven|0
425|Vincente Minnelli|2
426|Edward F. Cline|2
427|Mehboob Khan|2
428|Hiroyuki Kitakubo|0
429|George A. Romero|2
430|Zack Snyder|2
431|Dean Parisot|2
432|Joe Dante|2
433|Rolf Hansen|0
434|Nicolas Roeg|2
435|Wolfgang Staudte|2
436|Joachim Hasler|0
437|Jules Dassin|0
438|Alan Crosland|2
439|Max Ophuls|0
440|Carlos Saldanha|2
441|Eric Darnell|2
442|J.J. Abrams|2
443|Mel Brooks|2
444|Clyde Bruckman|2
445|Rupert Julian|2
446|John Sturges|2
447|Alexander Mackendrick|2
448|Gaspar Noe|2
449|William A. Wellman|2
450|George Cukor|0
451|Don Siegel|2
452|James Bridges|2
453|Frank Borzage|2
454|Robert Rossen|2
455|Buster Keaton|2
456|Anders Thomas Jensen|2
457|Stefan Ruzowitzky|2
458|Luchino Visconti|0
459|Jon Amiel|2
460|Zhang Yang|0
461|William Friedkin|0
462|Michelangelo Antonioni|2
463|Jim McBride|2
464|Mark Pellington|2
465|Emir Kusturica|0
466|Niki Caro|1
467|Josef Rusnak|2
468|Carol Reed|2
469|Louis Malle|2
470|Byambasuren Davaa|0
471|Ken Loach|2
472|Bill Condon|2
473|Brad McGann|0
474|Fernando Leon de Aranoa|2
475|Nadia Tass|0
476|Achim Bornhak|2
477|James Ivory|2
478|Sylvester Stallone|2
479|Robert De Niro|2
480|Peter Webber|2
481|Allen Coulter|2
482|Mark Steven Johnson|2
483|Todd Robinson|2
484|Philippe Lioret|0
485|Bong Joon-ho|2
486|Andreas Prochaska|2
487|Michael Lehmann|2
488|Richard Eyre|2
489|none|1
490|Carsten Strauch|0
491|Joachim Masannek|2
492|Gabor Csupo|2
493|David Ayer|0
494|Stephen J. Anderson|2
495|Steve Bendelack|2
496|Cyrill Boss|2
497|Kevin Munroe|2
498|Rolf Schubel|2
499|Mel Smith|2
500|Santiago Segura|2
501|Chris Kraus|0
502|Errol Morris|2
503|Mary Harron|1
504|Julie Taymor|1
505|Jules Bass|2
506|Julio Medem|2
507|John G. Avildsen|2
508|Ted Kotcheff|2
509|George P. Cosmatos|2
510|Peter MacDonald|2
511|Jeroen Krabbe|0
512|Melville Shavelson|2
513|John Cameron Mitchell|2
514|Graeme Clifford|2
515|Miranda July|1
516|Claude Lelouch|2
517|Todd Haynes|2
518|Peter Fischli|0
519|Zana Briski|0
520|Eva Neymann|0
521|Gabriele Muccino|2
522|Ralph Nelson|2
523|Erich von Stroheim|0
524|Ron Underwood|2
525|Olivier Dahan|2
526|Renny Harlin|2
527|Michael Tolkin|2
528|Fenton Bailey|2
529|Guillermo del Toro|2
530|Iciar Bollain|1
531|Tobi Baumann|0
532|Eric Callero|0
533|Greg Harrison|2
534|Thomas Wendrich|0
535|Michael Moore|2
536|Jonathan Caouette|2
537|Kim Sung-su|2
538|Helena Bulaja|0
539|Andy Tennant|2
540|Todd Field|2
541|Sung Hyung Cho|0
542|Phil Morrison|2
543|Po-Chih Leong|2
544|Chris Nahon|2
545|Lodge Kerrigan|0
546|Geoffrey Wright|2
547|Nick Gomez|2
548|E. Elias Merhige|0
549|Romuald Karmakar|2
550|Mike Hodges|0
551|Ning Hao|0
552|Thorsten Wenning|0
553|Neil Burger|2
554|Donald Petrie|2
555|Michael Pressman|2
556|Steve Barron|2
557|Stuart Gillard|2
558|Kevin Macdonald|2
559|Marcus Nispel|2
560|Lars Kraume|2
561|Laurent Cantet|2
562|Mike Judge|2
563|Sven Taddicken|2
564|Ol Parker|0
565|Mike Mills|2
566|Terry Zwigoff|0
567|Abdellatif Kechiche|2
568|Peter Hedges|2
569|Jacques Audiard|2
570|Cedric Klapisch|2
571|Toshio Matsumoto|2
572|Hendrik Handloegten|2
573|Dusan Makavejev|2
574|Nikos Nikolaidis|2
575|Juan Carlos Fresnadillo|2
576|Bernhard Wicki|0
577|Rozz Williams|0
578|Rob Marshall|2
579|Alexander Witt|2
580|Nancy Meyers|1
581|Christian Zubert|0
582|David Koepp|2
583|Peyton Reed|2
584|John Irvin|2
585|Agnieszka Holland|1
586|Gregory Hoblit|2
587|Shawn Levy|2
588|Michelle MacLaren|1
589|David O. Russell|2
590|Maria Giese|0
591|John Hay|2
592|David Evans|2
593|Tomy Wigand|2
594|Ronny Yu|0
595|Axel Sand|2
596|Michael Karen|0
597|Brian Gibson|2
598|Christopher McQuarrie|0
599|Xavier Gens|2
600|Dominik Moll|0
601|Jon Avnet|2
602|Simon Wincer|0
603|Paul Haggis|2
604|Bronwen Hughes|1
605|Irwin Winkler|2
606|George Sluizer|0
607|Richard LaGravenese|2
608|Roger Donaldson|2
609|Stephen Herek|2
610|Peter Hewitt|2
611|Helge Schneider|2
612|Robert Aldrich|2
613|Malte Ludin|0
614|Sebastian Schipper|0
615|Phil Joanou|2
616|Alfred Vohrer|2
617|Eric Steel|2
618|Luc Jacquet|0
619|Georges Lautner|0
620|Budd Boetticher|2
621|Tom Gries|2
622|Taylor Hackford|0
623|Ishiro Honda|0
624|Motoyoshi Oda|0
625|Bettina Blumner|0
626|Ted Post|2
627|Don Taylor|2
628|J. Lee Thompson|0
629|Eli Roth|2
630|Michael Davis|2
631|Stuart Gordon|2
632|Rob Zombie|2
633|Marcus H. Rosenmuller|0
634|Simon West|2
635|Stephen Norrington|2
636|Bret Michaels|2
637|George Stevens|2
638|Steven Zaillian|2
639|Dagur Kari|2
640|Giuseppe Colizzi|2
641|John Madden|0
642|Martin Ritt|2
643|Louis Leterrier|2
644|Jon Favreau|2
645|Rob Minkoff|2
646|Sandra Nettelbeck|1
647|Richard Quine|2
648|Rob Cohen|2
649|Ralf Westhoff|0
650|Paul May|2
651|Doris Dorrie|1
652|John Sayles|2
653|Heidi Ewing|0
654|Paul Hough|2
655|Davis Guggenheim|2
656|Gilles Bourdos|0
657|David L. Cunningham|2
658|Claude Chabrol|0
659|Herbert Ross|0
660|George Marshall|2
661|Lee H. Katzin|2
662|Robert Vincent O'Neill|0
663|Gregg Araki|2
664|Jim Fall|2
665|Michael Schorr|0
666|Michael Winner|2
667|Anthony Russo|2
668|Peter Segal|2
669|Menahem Golan|2
670|John Schlesinger|2
671|Kevin Smith|2
672|Edward Dmytryk|0
673|Dick Richards|0
674|Marina de Van|1
675|Virginie Wagon|0
676|Niels Arden Oplev|2
677|John Brahm|2
678|Robert Montgomery|2
679|Charles B. Pierce|2
680|Ondi Timoner|1
681|Julie Delpy|1
682|Paul Bogart|2
683|Bob Rafelson|2
684|Mark Robson|2
685|Alex March|2
686|Jessica Yu|1
687|Herbert Reinecker|2
688|Vincent Sherman|2
689|Nelson Shin|2
690|Alexander Ramati|0
691|Sergio M. Castilla|0
692|Richard Michaels|2
693|Jean Negulesco|2
694|Guy Casaril|0
695|Andre Hunebelle|2
696|Sebastian Gutierrez|2
697|John Boorman|2
698|Bille August|2
699|Chris Cook|0
700|Albert Band|2
701|John Milius|2
702|Stephane Meunier|0
703|John Korty|2
704|Marcel Ophuls|0
705|Randa Haines|1
706|Irvin Kershner|2
707|Richard Marquand|2
708|Manuel Huerga|0
709|Jacques Rouffio|0
710|Sijie Dai|0
711|Paul Weitz|2
712|Alejandro Amenabar|2
713|Rosa von Praunheim|0
714|Konrad Wolf|2
715|Jeremy Leven|2
716|Cyril Tuschi|0
717|Ute Wieland|1
718|Wolfgang Buld|2
719|Gilles Marchand|2
720|Keren Yedaya|0
721|Sarah Polley|1
722|Gerd Oswald|2
723|Pat O'Connor|2
724|Sam Garbarski|2
725|Marc Webb|2
726|Sylvain White|2
727|Alexandra Leclere|0
728|Tod Williams|2
729|Michael Apted|2
730|Brian Taylor|2
731|Eric Bress|2
732|Beeban Kidron|1
733|Bruce Campbell|2
734|Achim von Borries|2
735|Andrew Davis|2
736|Robert Towne|2
737|Joachim Ronning|0
738|Takashi Shimizu|2
739|Toby Wilkins|0
740|Tim Story|2
741|Sunny Abberton|0
742|Michael Anderson|2
743|Radu Mihaileanu|2
744|Emanuele Crialese|2
745|Irving Pichel|2
746|Bertrand Tavernier|2
747|James Gray|2
748|Anno Saul|2
749|George Miller|2
750|Chen Kaige|2
751|Cristian Mungiu|2
752|Naomi Kawase|1
753|Vincent Paronnaud|2
754|Carlos Reygadas|0
755|Lee Chang-dong|2
756|Rachid Bouchareb|2
757|Adam Shankman|2
758|Gary Sinyor|2
759|Tim Sullivan|2
760|Steven Brill|2
761|Claude Sautet|2
762|Florent-Emilio Siri|0
763|Etienne Chatiliez|2
764|Kurt Hoffmann|2
765|Matthew Broderick|2
766|Antoine Fuqua|2
767|Piernico Solinas|0
768|Robert Fuest|2
769|Predrag Antonijevic|0
770|Alejandro Agresti|2
771|John Dahl|2
772|Russell Mulcahy|2
773|Alex Proyas|2
774|Tom McCarthy|0
775|Michael Cristofer|2
776|Griffin Dunne|0
777|Nicolas Winding Refn|2
778|Brad Bird|2
779|Pierre Jolivet|2
780|Jonathan Lynn|2
781|Sergio Martino|2
782|Robert Lee|0
783|K.C. Bascombe|0
784|Thomas Wind|0
785|Jez Butterworth|2
786|Andrzej Bartkowiak|2
787|Peter Medak|2
788|Guy Manos|0
789|Kurt Voss|2
790|Robby Henson|2
791|Darryn Welch|0
792|Dick Maas|2
793|John Rich|2
794|Richard Greenberg|2
795|John Putch|2
796|Haruyasu Noguchi|0
797|George Sidney|2
798|Rod Lurie|2
799|Mario Gariazzo|0
800|Richard C. Sarafian|0
801|Herve Renoh|2
802|Ralph Thomas|2
803|John Hughes|2
804|Brett Ratner|2
805|Gerard Krawczyk|2
806|Brian Helgeland|2
807|Hironobu Sakaguchi|0
808|Paul Schrader|0
809|Carl Franklin|0
810|Marc Rothemund|2
811|Howard Deutch|2
812|Richard Rush|2
813|Lewis Teague|2
814|Nick Lyon|2
815|David Drury|2
816|Andrew Van Slee|0
817|George Pal|2
818|Simon Wells|2
819|Andrew Lau|0
820|Charles Bail|2
821|Mark Rydell|2
822|Harald Zwart|2
823|Uli Edel|0
824|Cecilia Peck|1
825|D.J. Webster|0
826|Irwin Allen|0
827|Hugh Johnson|2
828|Kari Skogland|1
829|Malcolm Mowbray|2
830|Murali K. Thalluri|0
831|Peter Timm|0
832|Christian Lara|0
833|David Wain|2
834|Nils Gaup|2
835|Matt Berman|0
836|Helmuth Russmann|0
837|Daniel Sackheim|2
838|Paul Wagner|0
839|Liam Lynch|2
840|Colin Nutley|0
841|Gottfried Kolditz|0
842|John De Bello|2
843|Peter Zingler|0
844|Ciaran Tanham|0
845|Herb Freed|2
846|Maria Lidon|0
847|Umberto Lenzi|0
848|George Bowers|2
849|Benjamin Quabeck|0
850|Frank Oz|2
851|Marion Hansel|1
852|Dieter Bottger|0
853|Michael Fischa|2
854|Frank Beyer|2
855|Walter Bannert|0
856|Michael Laux|0
857|Rolf Romer|0
858|Julien Temple|2
859|Max Farberbock|2
860|Ole Bornedal|2
861|Johannes Fabrick|2
862|Gustav von Wangenheim|2
863|Frank Vogel|2
864|Konrad Petzold|2
865|Egon Gunther|2
866|Artwork Team|0
867|Kurt Maetzig|2
868|Werner W. Wallroth|2
869|Gunter Reisch|2
870|Roland Graf|2
871|Heiner Carow|0
872|Warner Team|0
873|Gerhard Klein|2
874|Len Cotter|0
875|Ralf Kirsten|2
876|Leander Haussmann|0
877|Planet Song|0
878|MTV Team|0
879|Harold Becker|2
880|Aubrey Powell|0
881|Joachim Kunert|2
882|Richard Groschopp|2
883|Andrew Jarecki|2
884|Costa-Gavras|0
885|Johannes Schaaf|0
886|Robert Shaye|2
887|Timur Bekmambetov|2
888|Matthew Vaughn|2
889|Penny Marshall|1
890|Maurice Pialat|2
891|Zach Helm|2
892|Ben Sombogaart|2
893|David LaChapelle|2
894|Peter Kassovitz|2
895|Ingrid Sander|0
896|Bernhard Sinkel|0
897|Joe Pytka|2
898|Peter Schulze-Rohr|0
899|Armin Mueller-Stahl|2
900|Patrice Chereau|2
901|Axel Corti|0
902|Joshua Brand|2
903|Detlef Ronfeldt|2
904|Uwe Boll|2
905|Ben Younger|2
906|Jean Stewart|0
907|David Lister|2
908|Harley Cokeliss|2
909|Eric Small|2
910|Phil Alden Robinson|2
911|George Gallo|2
912|Aleksandr Buravsky|0
913|Gerard Pires|0
914|Roger Young|2
915|Heinrich Breloer|2
916|Heiner Stadler|0
917|Diethard Kuster|0
918|Jia Zhangke|0
919|Lars Buchel|2
920|Mike Binder|2
921|Piers Ashworth|0
922|Nigel Cole|2
923|Paolo Taviani|2
924|Michael Crichton|2
925|Aleksandr Alov|2
926|Edouard Molinaro|2
927|Iradj Azimi|0
928|Denys de La Patelliere|0
929|Christian Gion|0
930|Jean-Pierre Mocky|2
931|Marcel Cravenne|0
932|Anne Walter|0
933|Benoit Lamy|0
934|Sergei Yutkevich|2
935|Serge Korber|0
936|Michel Subiela|0
937|Charles Nemes|0
938|Julien Donada|0
939|Rene Feret|0
940|Pierre Schoendoerffer|0
941|German Lorente|0
942|Gerard Brach|2
943|Jean-Daniel Verhaeghe|2
944|Frederic Forestier|2
945|Rodney McDonald|2
946|Louis Grospierre|0
947|Rene Manzor|2
948|Kei Kumai|0
949|Eriprando Visconti|0
950|Gabi Kubach|1
951|Jacques Rampal|0
952|Franco Zeffirelli|2
953|Bernard Toublanc-Michel|2
954|Jean-Paul Carrere|0
955|Bernard Ferie|0
956|Didier Kaminka|0
957|Jacques Faber|0
958|Henri Helman|0
959|Jacques Demy|0
960|Jacques Trebouta|0
961|Javier Balaguer|0
962|James Yukich|2
963|Michel Nerval|0
964|George Seaton|2
965|Roger Christian|2
966|Roy William Neill|2
967|Catherine Hardwicke|1
968|Charles L. Bitsch|0
969|Jacques Richard|2
970|Pierre Goutas|0
971|Philippe Arnal|0
972|Marcel Carne|2
973|Yves Robert|2
974|Johnnie To|0
975|Harris Done|2
976|Fernando Trueba|0
977|Stefen Fangmeier|0
978|Toshiya Fujita|2
979|Paul Greengrass|2
980|Jack Clayton|2
981|Hirokazu Koreeda|2
982|Gianfranco De Bosio|0
983|James L. Brooks|2
984|John Patrick Shanley|2
985|Gerard Jugnot|0
986|Amy Holden Jones|1
987|Anand Tucker|2
988|James Orr|2
989|Norman Rene|2
990|Mark L. Lester|2
991|Bonnie Hunt|1
992|Luis Llosa|2
993|Stuart Cooper|2
994|Marc Lawrence|2
995|Eric Tsang|2
996|Tsui Hark|2
997|Ringo Lam|2
998|Liu Chia-Liang|2
999|David Slade|2
1000|Gary Ross|2
1001|Leslie H. Martinson|2
1002|Ken Finkleman|2
1003|Daniel Myrick|2
1004|Tommy Lee Wallace|2
1005|Hideo Nakata|2
1006|Raymond Gerome|2
1007|Jean Meyer|0
1008|Leopold Grun|0
1009|Wang Quan'an|0
1010|Dusan Milic|0
1011|Robert Lieberman|2
1012|Raffaele Mertes|2
1013|Atiq Rahimi|0
1014|Ermanno Olmi|2
1015|Peter Hall|2
1016|Gianni Buffardi|0
1017|Emilio Martinez Lazaro|0
1018|Regis Wargnier|2
1019|Nicole Mosleh|0
1020|Robert Markowitz|2
1021|Joseph Drimal|0
1022|William Karel|0
1023|Mart Dominicus|0
1024|John Herzfeld|2
1025|Paul Driessen|0
1026|Fons Rademakers|2
1027|Alex van Warmerdam|2
1028|Alexander Payne|0
1029|Stephan Elliott|2
1030|Leos Carax|0
1031|J.B. Rogers|0
1032|Shari Springer Berman|1
1033|Petra Gries|0
1034|Paul Flaherty|2
1035|Kurt Gerron|2
1036|David Twohy|0
1037|Ben Stiller|2
1038|Sebastian Vigg|2
1039|Peter Chung|2
1040|E. W. Emo|0
1041|Pier Giuseppe Murgia|0
1042|Jean-Christophe Averty|0
1043|Patrick Antoine|0
1044|Dominique Guillo|0
1045|Kars Penninx|0
1046|Lina Wertmuller|0
1047|Andre Barsacq|0
1048|Etienne Dhaene|0
1049|Ingo J. Biermann|0
1050|Peter Zadek|2
1051|Claude de Givray|0
1052|David Zucker|2
1053|Gerard Chouchan|0
1054|Andy Wilson|2
1055|Julio D. Wallovits|0
1056|Sascha Bachmann|0
1057|Andre Schneider|2
1058|Antonin Svoboda|2
1059|Eric Rohmer|2
1060|Claude Berri|2
1061|John Appel|0
1062|Michael Rymer|2
1063|Herrmann Zschoche|2
1064|Robert Duvall|2
1065|Takashi Miike|0
1066|Alain Chabat|2
1067|Rand Ravich|2
1068|Saad Chraibi|0
1069|Laurent Benegui|0
1070|Gabriel Nieve|0
1071|Horst Seemann|2
1072|Colin Teague|2
1073|Arthur Maria Rabenalt|2
1074|Theo van Gogh|0
1075|Michael Radford|2
1076|Hugh Wilson|2
1077|J. Searle Dawley|2
1078|Otto Rippert|0
1079|Ken Kwapis|0
1080|Holger-Madsen|0
1081|Rod Hardy|2
1082|Eugen Illes|2
1083|Henrik Galeen|2
1084|Richard Oswald|2
1085|Paul Wegener|0
1086|Yakov Protazanov|0
1087|Julian Jarrold|2
1088|Hank Braxtan|0
1089|Harry O. Hoyt|0
1090|Timothy Bond|2
1091|R.G. Springsteen|0
1092|Percival Rubens|0
1093|Noel Marshall|2
1094|Manuel Mur Oti|0
